Defectors,Cooperators,%Defectors,%Cooperators,Avg Fit,Max Fit
1016,984,50.8,49.2,0.0,0
1383,617,69.15,30.85,0.4829848774870807,1.2
1584,416,79.2,20.8,0.38614237010303526,1.2
1703,297,85.15,14.85,0.3220104268669462,0.8999999999999999
1736,264,86.8,13.200000000000001,0.27854212883117924,0.825
1786,214,89.3,10.7,0.24738008487434676,0.76
1822,178,91.10000000000001,8.9,0.2219230785681975,0.7999999999999999
1821,179,91.05,8.95,0.20302363665102247,0.8285714285714285
1820,180,91.0,9.0,0.18833207592539797,0.775
1830,170,91.5,8.5,0.17628126406259675,0.7333333333333334
1851,149,92.55,7.449999999999999,0.1660215337614118,0.7000000000000001
1859,141,92.95,7.049999999999999,0.15836894388204734,0.7000000000000001
1864,136,93.2,6.800000000000001,0.15150376036789587,0.6750000000000002
1866,134,93.30000000000001,6.7,0.14575434478221636,0.676923076923077
1885,115,94.25,5.75,0.14108229633276875,0.6785714285714286
1874,126,93.7,6.3,0.13566120009845078,0.64
1877,123,93.85,6.15,0.1309666391009498,0.625
1867,133,93.35,6.65,0.1270328906024363,0.611764705882353
1848,152,92.4,7.6,0.12427892245970168,0.6166666666666667
1851,149,92.55,7.449999999999999,0.12195836835004992,0.605263157894737
1841,159,92.05,7.95,0.12014639140342558,0.5800000000000001
1830,170,91.5,8.5,0.11897409321296067,0.5714285714285715
1818,182,90.9,9.1,0.11774451199384824,0.55
1815,185,90.75,9.25,0.11721087553905007,0.5434782608695653
1800,200,90.0,10.0,0.11672273330996406,0.525
1802,198,90.10000000000001,9.9,0.11620582959395145,0.508
1814,186,90.7,9.3,0.11552601368877405,0.4923076923076923
1804,196,90.2,9.8,0.11494509217450381,0.47777777777777775
1835,165,91.75,8.25,0.11373095445316286,0.46428571428571425
1828,172,91.4,8.6,0.11235686188697067,0.4517241379310344
1845,155,92.25,7.75,0.11114789197322063,0.4399999999999999
1866,134,93.30000000000001,6.7,0.10998453248086279,0.42903225806451606
1871,129,93.55,6.45,0.10839580151402414,0.4281249999999999
1880,120,94.0,6.0,0.10682517948287364,0.4363636363636363
1868,132,93.4,6.6000000000000005,0.10574824118593237,0.426470588235294
1845,155,92.25,7.75,0.10556824279246087,0.4085714285714285
1845,155,92.25,7.75,0.10532408618887791,0.39722222222222214
1852,148,92.60000000000001,7.3999999999999995,0.10482613043489983,0.3864864864864864
1854,146,92.7,7.3,0.10389377815874595,0.37631578947368416
1850,150,92.5,7.5,0.10277107263613545,0.3666666666666666
1874,126,93.7,6.3,0.10163644522626894,0.35749999999999993
1880,120,94.0,6.0,0.1004046801746955,0.34878048780487797
1893,107,94.65,5.35,0.0991843257442077,0.34571428571428575
1907,93,95.35,4.65,0.09803562026645653,0.3386046511627907
1883,117,94.15,5.8500000000000005,0.09703449542635778,0.3318181818181818
1883,117,94.15,5.8500000000000005,0.09624800068609014,0.3266666666666667
1869,131,93.45,6.550000000000001,0.09568706450399554,0.33478260869565224
1866,134,93.30000000000001,6.7,0.09498899164380861,0.34255319148936175
1868,132,93.4,6.6000000000000005,0.09419045103353771,0.35000000000000003
1853,147,92.65,7.35,0.09361447581282538,0.35714285714285715
1843,157,92.15,7.85,0.09342187299608071,0.364
1850,150,92.5,7.5,0.09299246670840527,0.3764705882352941
1850,150,92.5,7.5,0.09269522374632813,0.38269230769230766
1850,150,92.5,7.5,0.09232883393499026,0.3830188679245283
1854,146,92.7,7.3,0.09187712414435778,0.38333333333333325
1844,156,92.2,7.8,0.0914596153807299,0.38363636363636355
1844,156,92.2,7.8,0.09122970936114387,0.39285714285714274
1848,152,92.4,7.6,0.09079168662433545,0.3912280701754385
1850,150,92.5,7.5,0.09051412004486804,0.39482758620689645
1854,146,92.7,7.3,0.09026803900318556,0.39830508474576265
1849,151,92.45,7.55,0.08996446702687678,0.3916666666666666
1857,143,92.85,7.1499999999999995,0.08945361597262742,0.3852459016393442
1856,144,92.80000000000001,7.199999999999999,0.08947365958244291,0.37903225806451607
1854,146,92.7,7.3,0.0892110806615136,0.37301587301587297
1858,142,92.9,7.1,0.08897930325047951,0.36718749999999994
1859,141,92.95,7.049999999999999,0.08867627808541227,0.3615384615384615
1858,142,92.9,7.1,0.08842209523082337,0.356060606060606
1862,138,93.10000000000001,6.9,0.08813147403863368,0.3507462686567164
1853,147,92.65,7.35,0.08796688446757873,0.3455882352941176
1864,136,93.2,6.800000000000001,0.08764164566305327,0.3405797101449275
1865,135,93.25,6.75,0.08730098931449012,0.3357142857142857
1871,129,93.55,6.45,0.08683971116724688,0.3309859154929577
