graph_name,percentage
1000CR,0.07
1000CH,0.06
1000DR,0.11
1000DH,0.01
1100CR,0.03
1100CH,0.05
1100DR,0.13
1100DH,0.06
1200CR,0.14
1200CH,0.03
1200DR,0.41000000000000003
1200DH,0.01
1300CR,0.09
1300CH,0.04
1300DR,0.12
1300DH,0.03
1400CR,0.03
1400CH,0.05
1400DR,0.4
1400DH,0.13
1500CR,0.12
1500CH,0.01
1500DR,0.05
1500DH,0.04
1600CR,0.04
1600CH,0.01
1600DR,0.37
1600DH,0.08
1700CR,0.1
1700CH,0.06
1700DR,0.22
1700DH,0.13
1800CR,0.17
1800CH,0.01
1800DR,0.34
1800DH,0.19
1900CR,0.06
1900CH,0.06
1900DR,0.26
1900DH,0.08
2000CR,0.28
2000CH,0.08
2000DR,0.28
2000DH,0.17
